Est_Breakpoint,Year,Location,Group_Size
56.0001,2012,1,25
84.0001418411312,2012,1,25
83.997854793611765,2012,1,25
181.98341153555532,2012,1,25
56.12366056356812,2012,1,25
129.09596404559704,2012,1,25
112.00774910003217,2012,1,25
83.98527650975352,2012,1,25
61.25185769692753,2012,1,25
56.0001,2012,1,25
89.0474281002262,2012,1,25
139.00017290820907,2012,1,25
57.0219735914512,2012,1,25
90.01467928943774,2012,1,25
56.0001,2012,1,25
56.0001,2012,1,25
56.969937937144046,2012,1,25
56.0001,2012,1,25
83.98942322286719,2012,1,25
173.00283180469293,2012,1,25
56.0001,2012,1,25
56.0001,2012,1,25
83.9974192205255,2012,1,25
120.09045582487398,2012,1,25
61.41503808100303,2012,1,25
56.0001,2012,1,25
60.58703094154218,2012,1,25
80.48887318449513,2012,1,25
56.34185759092118,2012,1,25
135.34542327627423,2012,1,25
112.00392818836725,2012,1,25
63.17770725689477,2012,1,25
56.0001,2012,1,25
60.405927608050575,2012,1,25
119.17541455257974,2012,1,25
167.28486265262626,2012,1,25
83.99985133701487,2012,1,25
142.67721000208493,2012,1,25
111.0244722145031,2012,1,25
56.0001,2012,1,25
120.41363970995764,2012,1,25
88.30924116020944,2012,1,25
167.00000332268326,2012,1,25
56.0001,2012,1,25
66.9142253124188,2012,1,25
108.73311116441423,2012,1,25
68.07863304145879,2012,1,25
139.00376188541108,2012,1,25
56.0001,2012,1,25
56.0001,2012,1,25
84.00063403066494,2012,1,25
56.0001,2012,1,25
68.79318472889213,2012,1,25
69.94598505406383,2012,1,25
102.78061439474868,2012,1,25
63.59659475151194,2012,1,25
101.39647772726292,2012,1,25
124.97620163172363,2012,1,25
58.658295982229816,2012,1,25
64.25258294966326,2012,1,25
80.47313321060409,2012,1,25
139.00156695624224,2012,1,25
139.6625169994266,2012,1,25
59.98463698796293,2012,1,25
56.0001,2012,1,25
56.0001,2012,1,25
102.59294080553701,2012,1,25
138.99988107316963,2012,1,25
98.55782096016206,2012,1,25
71.33648534850587,2012,1,25
